trialNum, blockWidth, MillisTime, rpos, reach, leftprob, MouseX, MouseY, startdiameter, targetdiameter, x0,y0, x1, y1,trialstate
1,50,22328.0,1,2.0,0.9,782,814,140,140,840,910,420,194,3
1,50,22345.0,1,2.0,0.9,782,814,140,140,840,910,420,194,3
1,50,22361.0,1,2.0,0.9,802,862,140,140,840,910,420,194,3
2,50,22378.0,1,2.0,0.9,812,884,140,140,840,910,420,194,1
2,50,22395.0,1,2.0,0.9,812,884,140,140,840,910,420,194,2
2,50,22411.0,1,2.0,0.9,830,928,140,140,840,910,420,194,2
2,50,22428.0,1,2.0,0.9,830,928,140,140,840,910,420,194,2
2,50,22448.0,1,2.0,0.9,830,928,140,140,840,910,420,194,2
2,50,22462.0,1,2.0,0.9,830,928,140,140,840,910,420,194,2
2,50,22477.0,1,2.0,0.9,830,928,140,140,840,910,420,194,2
2,50,22496.0,1,2.0,0.9,830,928,140,140,840,910,420,194,2
2,50,22512.0,1,2.0,0.9,856,951,140,140,840,910,420,194,2
2,50,22528.0,1,2.0,0.9,851,903,140,140,840,910,420,194,2
2,50,22544.0,1,2.0,0.9,844,878,140,140,840,910,420,194,2
2,50,22562.0,1,2.0,0.9,823,820,140,140,840,910,420,194,2
2,50,22578.0,1,2.0,0.9,790,764,140,140,840,910,420,194,2
2,50,22596.0,1,2.0,0.9,790,764,140,140,840,910,420,194,2
2,50,22613.0,1,2.0,0.9,706,646,140,140,840,910,420,194,2
2,50,22630.0,1,2.0,0.9,675,604,140,140,840,910,420,194,2
2,50,22645.0,1,2.0,0.9,601,503,140,140,840,910,420,194,2
2,50,22662.0,1,2.0,0.9,530,404,140,140,840,910,420,194,2
2,50,22681.0,1,2.0,0.9,504,364,140,140,840,910,420,194,2
2,50,22696.0,1,2.0,0.9,459,294,140,140,840,910,420,194,2
2,50,22731.0,1,2.0,0.9,459,294,140,140,840,910,420,194,2
2,50,22749.0,1,2.0,0.9,459,294,140,140,840,910,420,194,2
2,50,22767.0,1,2.0,0.9,425,235,140,140,840,910,420,194,2
2,50,22784.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22799.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22817.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22833.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22850.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22866.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22884.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22901.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22917.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22933.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22950.0,1,2.0,0.9,425,235,140,140,840,910,420,194,3
2,50,22966.0,1,2.0,0.9,423,234,140,140,840,910,420,194,3
2,50,22983.0,1,2.0,0.9,420,228,140,140,840,910,420,194,3
2,50,22999.0,1,2.0,0.9,412,211,140,140,840,910,420,194,3
2,50,23017.0,1,2.0,0.9,399,191,140,140,840,910,420,194,3
2,50,23033.0,1,2.0,0.9,389,176,140,140,840,910,420,194,3
2,50,23051.0,1,2.0,0.9,387,173,140,140,840,910,420,194,3
2,50,23066.0,1,2.0,0.9,387,173,140,140,840,910,420,194,3
2,50,23084.0,1,2.0,0.9,387,173,140,140,840,910,420,194,3
2,50,23098.0,1,2.0,0.9,387,173,140,140,840,910,420,194,3
2,50,23118.0,1,2.0,0.9,387,175,140,140,840,910,420,194,3
2,50,23132.0,1,2.0,0.9,395,189,140,140,840,910,420,194,3
2,50,23150.0,1,2.0,0.9,420,232,140,140,840,910,420,194,3
2,50,23166.0,1,2.0,0.9,438,261,140,140,840,910,420,194,3
2,50,23185.0,1,2.0,0.9,496,358,140,140,840,910,420,194,3
2,50,23200.0,1,2.0,0.9,575,487,140,140,840,910,420,194,3
2,50,23218.0,1,2.0,0.9,658,611,140,140,840,910,420,194,3
2,50,23234.0,1,2.0,0.9,714,700,140,140,840,910,420,194,3
2,50,23249.0,1,2.0,0.9,733,735,140,140,840,910,420,194,3
2,50,23267.0,1,2.0,0.9,764,788,140,140,840,910,420,194,3
2,50,23282.0,1,2.0,0.9,777,812,140,140,840,910,420,194,3
2,50,23298.0,1,2.0,0.9,779,816,140,140,840,910,420,194,3
2,50,23317.0,1,2.0,0.9,780,818,140,140,840,910,420,194,3
2,50,23333.0,1,2.0,0.9,780,820,140,140,840,910,420,194,3
2,50,23348.0,1,2.0,0.9,780,822,140,140,840,910,420,194,3
2,50,23369.0,1,2.0,0.9,781,831,140,140,840,910,420,194,3
2,50,23382.0,1,2.0,0.9,785,844,140,140,840,910,420,194,3
2,50,23400.0,1,2.0,0.9,791,863,140,140,840,910,420,194,3
3,50,23417.0,1,2.0,0.9,793,870,140,140,840,910,420,194,1
3,50,23433.0,1,2.0,0.9,800,887,140,140,840,910,420,194,2
3,50,23451.0,1,2.0,0.9,810,903,140,140,840,910,420,194,2
3,50,23466.0,1,2.0,0.9,818,914,140,140,840,910,420,194,2
3,50,23483.0,1,2.0,0.9,823,920,140,140,840,910,420,194,2
3,50,23501.0,1,2.0,0.9,824,921,140,140,840,910,420,194,2
3,50,23517.0,1,2.0,0.9,824,921,140,140,840,910,420,194,2
3,50,23531.0,1,2.0,0.9,824,921,140,140,840,910,420,194,2
3,50,23548.0,1,2.0,0.9,824,921,140,140,840,910,420,194,2
3,50,23564.0,1,2.0,0.9,824,920,140,140,840,910,420,194,2
