trialNum, blockWidth, MillisTime, rpos, reach, leftprob, px, py, startdiameter, targetdiameter, x0,y0, x1, y1,trialstate
1,50,20940.0,1,2.0,0.75,429,161,140,140,840,910,420,194,3
1,50,20957.0,1,2.0,0.75,427,162,140,140,840,910,420,194,3
1,50,20974.0,1,2.0,0.75,424,163,140,140,840,910,420,194,3
1,50,20991.0,1,2.0,0.75,422,165,140,140,840,910,420,194,3
1,50,21007.0,1,2.0,0.75,420,165,140,140,840,910,420,194,3
1,50,21025.0,1,2.0,0.75,417,167,140,140,840,910,420,194,3
1,50,21041.0,1,2.0,0.75,417,168,140,140,840,910,420,194,3
1,50,21059.0,1,2.0,0.75,416,170,140,140,840,910,420,194,3
1,50,21075.0,1,2.0,0.75,414,179,140,140,840,910,420,194,3
1,50,21092.0,1,2.0,0.75,411,201,140,140,840,910,420,194,3
1,50,21108.0,1,2.0,0.75,411,215,140,140,840,910,420,194,3
1,50,21125.0,1,2.0,0.75,415,251,140,140,840,910,420,194,3
1,50,21142.0,1,2.0,0.75,415,251,140,140,840,910,420,194,3
1,50,21158.0,1,2.0,0.75,452,340,140,140,840,910,420,194,3
1,50,21177.0,1,2.0,0.75,452,340,140,140,840,910,420,194,3
1,50,21194.0,1,2.0,0.75,552,504,140,140,840,910,420,194,3
1,50,21211.0,1,2.0,0.75,552,504,140,140,840,910,420,194,3
1,50,21229.0,1,2.0,0.75,625,620,140,140,840,910,420,194,3
1,50,21246.0,1,2.0,0.75,726,767,140,140,840,910,420,194,3
1,50,21263.0,1,2.0,0.75,726,767,140,140,840,910,420,194,3
1,50,21280.0,1,2.0,0.75,772,819,140,140,840,910,420,194,3
1,50,21297.0,1,2.0,0.75,810,857,140,140,840,910,420,194,3
2,50,21316.0,1,2.0,0.75,827,871,140,140,840,910,420,194,1
2,50,21331.0,1,2.0,0.75,831,874,140,140,840,910,420,194,2
2,50,21349.0,1,2.0,0.75,832,874,140,140,840,910,420,194,2
2,50,21367.0,1,2.0,0.75,832,874,140,140,840,910,420,194,2
2,50,21383.0,1,2.0,0.75,832,874,140,140,840,910,420,194,2
2,50,21397.0,1,2.0,0.75,832,873,140,140,840,910,420,194,2
2,50,21419.0,1,2.0,0.75,833,871,140,140,840,910,420,194,2
2,50,21436.0,1,2.0,0.75,834,870,140,140,840,910,420,194,2
2,50,21452.0,1,2.0,0.75,834,870,140,140,840,910,420,194,2
2,50,21468.0,1,2.0,0.75,834,870,140,140,840,910,420,194,2
2,50,21485.0,1,2.0,0.75,834,870,140,140,840,910,420,194,2
2,50,21502.0,1,2.0,0.75,835,871,140,140,840,910,420,194,2
2,50,21519.0,1,2.0,0.75,836,881,140,140,840,910,420,194,2
2,50,21535.0,1,2.0,0.75,837,888,140,140,840,910,420,194,2
2,50,21552.0,1,2.0,0.75,840,906,140,140,840,910,420,194,2
2,50,21568.0,1,2.0,0.75,840,915,140,140,840,910,420,194,2
2,50,21586.0,1,2.0,0.75,841,915,140,140,840,910,420,194,2
2,50,21602.0,1,2.0,0.75,843,907,140,140,840,910,420,194,2
2,50,21619.0,1,2.0,0.75,844,891,140,140,840,910,420,194,2
2,50,21632.0,1,2.0,0.75,844,853,140,140,840,910,420,194,2
2,50,21649.0,1,2.0,0.75,844,853,140,140,840,910,420,194,2
2,50,21669.0,1,2.0,0.75,833,792,140,140,840,910,420,194,2
2,50,21686.0,1,2.0,0.75,800,699,140,140,840,910,420,194,2
2,50,21702.0,1,2.0,0.75,780,649,140,140,840,910,420,194,2
2,50,21723.0,1,2.0,0.75,718,521,140,140,840,910,420,194,2
2,50,21739.0,1,2.0,0.75,574,285,140,140,840,910,420,194,2
2,50,21756.0,1,2.0,0.75,525,221,140,140,840,910,420,194,2
2,50,21772.0,1,2.0,0.75,502,196,140,140,840,910,420,194,2
2,50,21790.0,1,2.0,0.75,469,153,140,140,840,910,420,194,2
2,50,21806.0,1,2.0,0.75,450,131,140,140,840,910,420,194,3
2,50,21823.0,1,2.0,0.75,444,123,140,140,840,910,420,194,3
2,50,21837.0,1,2.0,0.75,444,122,140,140,840,910,420,194,3
2,50,21853.0,1,2.0,0.75,444,122,140,140,840,910,420,194,3
2,50,21870.0,1,2.0,0.75,444,122,140,140,840,910,420,194,3
2,50,21887.0,1,2.0,0.75,444,122,140,140,840,910,420,194,3
