2016,8,19,13,41
timestamp, trialNum, blockWidth, reach, leftprob, subjpos, Rightorwrong, rpos, forageDist, totDist, optdist, diff, score
168630,81,50,1.0,0.9,1,1.0,1,646.90704,1509.0126,392.19568,1116.8169,4801
169364,82,50,1.0,0.9,1,1.0,1,557.8891,1423.0254,392.19568,1030.8297,4883
170363,83,50,1.0,0.9,1,1.0,1,546.96045,1215.0631,392.19568,822.86743,4980
171180,84,50,1.0,0.9,1,1.0,1,554.65283,1068.3058,392.19568,676.1101,5090
172160,85,50,1.0,0.9,1,1.0,1,653.6336,1275.3408,392.19568,883.14514,5182
173960,86,50,1.0,0.9,1,0.0,2,1943.3132,2757.8958,392.19568,2365.7002,5182
176444,87,50,1.0,0.9,1,0.0,2,1844.7435,2411.2734,392.19568,2019.0778,5182
178740,88,50,1.0,0.9,1,1.0,1,570.63,2355.0884,392.19568,1962.8927,5232
181059,89,50,1.0,0.9,2,0.0,1,1716.1746,2324.8906,392.19568,1932.695,5232
182459,90,50,1.0,0.9,1,1.0,1,511.47314,1100.9012,392.19568,708.70557,5339
183442,91,50,1.0,0.9,1,1.0,1,623.4733,1731.8997,392.19568,1339.704,5407
184794,92,50,1.0,0.9,1,1.0,1,1591.3977,2400.831,392.19568,2008.6354,5456
185759,93,50,1.0,0.9,1,1.0,1,819.0548,2099.19,392.19568,1706.9943,5512
186496,94,50,1.0,0.9,1,1.0,1,502.8296,1301.5808,392.19568,909.38513,5603
187378,95,50,1.0,0.9,1,1.0,1,480.6284,1091.8682,392.19568,699.6725,5710
188076,96,50,1.0,0.9,1,1.0,1,533.51636,1245.774,392.19568,853.57837,5805
188893,97,50,1.0,0.9,1,1.0,1,512.2657,1145.7032,392.19568,753.50757,5908
189975,98,50,1.0,0.9,1,1.0,1,768.4511,1417.0054,392.19568,1024.8097,5991
190893,99,50,1.0,0.9,1,1.0,1,634.76514,1394.148,392.19568,1001.9523,6075
192694,100,50,1.0,0.9,1,0.0,2,1865.3901,2546.128,392.19568,2153.9321,6075
194876,101,50,1.0,0.9,2,0.0,1,2168.0686,2674.3025,392.19568,2282.107,6075
196711,102,50,1.0,0.25,1,0.0,2,2085.0457,2761.9497,392.19568,2369.754,6075
197860,103,50,1.0,0.25,2,1.0,2,624.0214,1210.0342,392.19568,817.8385,6172
199429,104,50,1.0,0.25,2,0.0,1,2030.4387,3071.3406,392.19568,2679.145,6172
200246,105,50,1.0,0.25,1,1.0,1,823.1974,1353.056,392.19568,960.86035,6259
208549,106,50,1.0,0.25,1,0.0,2,2967.9912,3587.0022,392.19568,3194.8066,6259
210369,107,50,1.0,0.25,2,0.0,1,1866.9657,2586.3835,392.19568,2194.188,6259
212322,108,50,1.0,0.25,1,0.0,2,2245.21,3036.8867,392.19568,2644.691,6259
214038,109,50,1.0,0.25,2,1.0,2,642.0224,1549.6938,392.19568,1157.4982,6335
214837,110,50,1.0,0.25,2,1.0,2,616.19214,1369.8069,392.19568,977.6112,6421
216339,111,50,1.0,0.25,2,1.0,2,604.5932,2958.1926,392.19568,2565.997,6461
218271,112,50,1.0,0.25,2,0.0,1,2601.369,3147.6494,392.19568,2755.4536,6461
220187,113,50,1.0,0.25,1,0.0,2,2667.4868,3224.3281,392.19568,2832.1323,6461
221071,114,50,1.0,0.25,2,1.0,2,1040.5364,1518.7166,392.19568,1126.5209,6538
222039,115,50,1.0,0.25,2,1.0,2,692.43933,1494.9539,392.19568,1102.7582,6617
222923,116,50,1.0,0.25,2,1.0,2,638.81854,1292.7832,392.19568,900.5875,6708
223621,117,50,1.0,0.25,2,1.0,2,556.75543,1277.5856,392.19568,885.3899,6800
224436,118,50,1.0,0.25,2,1.0,2,577.55194,1101.5825,392.19568,709.38684,6907
225102,119,50,1.0,0.25,2,1.0,2,481.5344,1242.3583,392.19568,850.1626,7002
226103,120,50,1.0,0.25,2,1.0,2,1376.4586,2099.5117,392.19568,1707.316,7058
229021,121,50,1.0,0.25,2,0.0,1,3670.9246,4317.4644,392.19568,3925.2686,7058
232276,122,50,1.0,0.25,1,0.0,2,4664.163,5437.295,392.19568,5045.099,7058
234161,123,50,1.0,0.25,1,0.0,2,1636.3472,3383.0352,392.19568,2990.8394,7058
235027,124,50,1.0,0.25,2,1.0,2,560.5647,1261.2568,392.19568,869.06116,7151
236411,125,50,1.0,0.25,2,1.0,2,943.93695,1590.281,392.19568,1198.0853,7225
237861,126,50,1.0,0.25,2,1.0,2,867.7592,1708.3842,392.19568,1316.1885,7294
238843,127,50,1.0,0.25,2,1.0,2,774.76825,1458.0173,392.19568,1065.8217,7374
240716,128,50,1.0,0.25,2,0.0,1,1862.6487,2783.0938,392.19568,2390.898,7374
241432,129,50,1.0,0.25,2,1.0,2,634.78,1732.4421,392.19568,1340.2465,7442
242316,130,50,1.0,0.25,2,1.0,2,750.0554,1574.6451,392.19568,1182.4495,7517
243399,131,50,1.0,0.25,2,1.0,2,678.79694,1335.6101,392.19568,943.4144,7605
244532,132,50,1.0,0.25,2,1.0,2,881.6498,1421.4612,392.19568,1029.2655,7688
245386,133,50,1.0,0.25,2,1.0,2,645.885,1501.2219,392.19568,1109.0262,7766
246136,134,50,1.0,0.25,2,1.0,2,593.3684,1506.304,392.19568,1114.1083,7844
246850,135,50,1.0,0.25,2,1.0,2,674.61096,1477.565,392.19568,1085.3693,7924
249083,136,50,1.0,0.25,2,0.0,1,1955.5944,2667.1917,392.19568,2274.996,7924
249850,137,50,1.0,0.25,1,1.0,1,731.67834,1527.8931,392.19568,1135.6974,8001
251684,138,50,1.0,0.25,1,0.0,2,2705.167,3448.6826,392.19568,3056.4868,8001
252667,139,50,1.0,0.25,2,1.0,2,707.58057,1229.1631,392.19568,836.9674,8097
253450,140,50,1.0,0.25,2,1.0,2,769.7123,1563.9404,392.19568,1171.7448,8172
254219,141,50,1.0,0.25,2,1.0,2,473.887,1149.7238,392.19568,757.5281,8274
255934,142,50,1.0,0.25,2,0.0,1,2108.8318,2765.8083,392.19568,2373.6128,8274
257935,143,50,1.0,0.25,1,0.0,2,2613.7092,3350.0461,392.19568,2957.8506,8274
259271,144,50,1.0,0.25,2,1.0,2,709.857,1646.6455,392.19568,1254.4498,8346
260109,145,50,1.0,0.25,2,1.0,2,599.1354,1376.1648,392.19568,983.9691,8431
261219,146,50,1.0,0.25,2,1.0,2,907.76385,1498.2798,392.19568,1106.0841,8510
261953,147,50,1.0,0.25,2,1.0,2,517.94666,1425.6404,392.19568,1033.4447,8592
263562,148,50,1.0,0.25,2,0.0,1,2019.3237,2776.277,392.19568,2384.0815,8592
264429,149,50,1.0,0.25,1,1.0,1,622.5112,1266.1409,392.19568,873.9452,8685
266796,150,50,1.0,0.25,1,0.0,2,2266.3284,2860.5847,392.19568,2468.3892,8685
268679,151,50,1.0,0.25,2,0.0,1,2355.6614,2870.271,392.19568,2478.0752,8685
270415,152,50,1.0,0.25,1,0.0,2,2014.0621,2834.0796,392.19568,2441.8838,8685
271398,153,50,1.0,0.1,2,1.0,2,557.3777,1212.1322,392.19568,819.9365,8782
272098,154,50,1.0,0.1,2,1.0,2,559.52783,1394.7227,392.19568,1002.527,8867
272813,155,50,1.0,0.1,2,1.0,2,560.62787,1117.949,392.19568,725.7533,8972
273477,156,50,1.0,0.1,2,1.0,2,667.99347,1461.1768,392.19568,1068.9811,9053
274161,157,50,1.0,0.1,2,1.0,2,653.66394,1449.7288,392.19568,1057.5331,9134
275011,158,50,1.0,0.1,2,1.0,2,697.6626,1372.7151,392.19568,980.5194,9219
275712,159,50,1.0,0.1,2,1.0,2,434.18118,1423.306,392.19568,1031.1104,9302
276778,160,50,1.0,0.1,2,1.0,2,946.91907,1492.241,392.19568,1100.0453,9381
277911,161,50,1.0,0.1,2,1.0,2,855.2903,1636.9095,392.19568,1244.7139,9453
279144,162,50,1.0,0.1,2,1.0,2,766.05963,1287.5862,392.19568,895.3905,9544
280410,163,50,1.0,0.1,2,1.0,2,996.1929,1519.9017,392.19568,1127.706,9622
281586,164,50,1.0,0.1,2,1.0,2,822.4489,1358.5548,392.19568,966.35913,9708
285451,165,50,1.0,0.1,1,0.0,2,4589.494,5396.555,392.19568,5004.3594,9708
286205,166,50,1.0,0.1,2,1.0,2,613.2621,1289.3448,392.19568,897.1492,9799
287142,167,50,1.0,0.1,2,1.0,2,571.3135,1427.7993,392.19568,1035.6036,9882
287955,168,50,1.0,0.1,2,1.0,2,517.0367,1100.0271,392.19568,707.8314,9989
289159,169,50,1.0,0.1,2,1.0,2,804.4766,1576.1287,392.19568,1183.933,10063
290377,170,50,1.0,0.1,2,1.0,2,1109.8844,1609.0122,392.19568,1216.8165,10137
291273,171,50,1.0,0.1,2,1.0,2,602.90796,1352.6685,392.19568,960.4728,10224
291971,172,50,1.0,0.1,2,1.0,2,611.83124,1555.5697,392.19568,1163.374,10299
292637,173,50,1.0,0.1,2,1.0,2,564.86414,1105.8438,392.19568,713.6481,10406
293651,174,50,1.0,0.1,2,1.0,2,559.7336,1293.0632,392.19568,900.86755,10497
294371,175,50,1.0,0.1,2,1.0,2,650.3482,1321.6694,392.19568,929.47375,10586
295035,176,50,1.0,0.1,2,1.0,2,661.61945,1319.9946,392.19568,927.79895,10675
295869,177,50,1.0,0.1,2,1.0,2,579.96094,1000.46497,392.19568,608.2693,10792
296852,178,50,1.0,0.1,2,1.0,2,704.3407,1235.4171,392.19568,843.22144,10888
297636,179,50,1.0,0.1,2,1.0,2,660.87415,1567.1101,392.19568,1174.9144,10963
298452,180,50,1.0,0.1,2,1.0,2,524.0379,1197.1335,392.19568,804.93787,11061
300037,181,50,1.0,0.1,2,1.0,2,627.5668,2047.9318,392.19568,1655.7361,11118
301063,182,50,1.0,0.1,2,1.0,2,625.5832,1225.6726,392.19568,833.4769,11214
302914,183,50,1.0,0.1,2,0.0,1,1924.4579,2821.4087,392.19568,2429.213,11214
305084,184,50,1.0,0.1,1,0.0,2,2306.0916,3906.2236,392.19568,3514.0278,11214
306533,185,50,1.0,0.1,1,0.0,2,1606.4628,2266.4888,392.19568,1874.2931,11214
308349,186,50,1.0,0.1,1,0.0,2,1687.8427,2200.5117,392.19568,1808.316,11214
310133,187,50,1.0,0.1,1,0.0,2,1717.1426,2279.8035,392.19568,1887.6078,11214
311786,188,50,1.0,0.1,2,1.0,2,593.2347,2192.432,392.19568,1800.2362,11268
314001,189,50,1.0,0.1,1,0.0,2,1499.1069,1995.6792,392.19568,1603.4835,11268
314802,190,50,1.0,0.1,2,1.0,2,523.1872,1229.8062,392.19568,837.6105,11364
315469,191,50,1.0,0.1,2,1.0,2,558.38947,1278.418,392.19568,886.2223,11456
316170,192,50,1.0,0.1,2,1.0,2,560.6935,1271.457,392.19568,879.26135,11548
316869,193,50,1.0,0.1,2,1.0,2,821.92773,1297.0271,392.19568,904.8314,11639
324171,194,50,1.0,0.1,2,0.0,1,3243.641,3976.3164,392.19568,3584.1206,11639
325087,195,50,1.0,0.1,1,1.0,1,503.01132,1198.963,392.19568,806.76733,11737
326571,196,50,1.0,0.1,1,0.0,2,1743.0659,2302.2053,392.19568,1910.0096,11737
327555,197,50,1.0,0.1,2,1.0,2,548.20087,1996.26,392.19568,1604.0643,11796
328920,198,50,1.0,0.1,2,1.0,2,641.17017,1306.9305,392.19568,914.73486,11886
329841,199,50,1.0,0.1,2,1.0,2,460.75903,1257.5245,392.19568,865.32886,11980
331311,200,50,1.0,0.1,2,0.0,1,1705.648,2403.2466,392.19568,2011.0509,11980
333120,201,50,1.0,0.1,1,0.0,2,2078.563,2673.291,392.19568,2281.0952,11980
334050,202,50,1.0,0.1,2,1.0,2,541.13513,1252.6469,392.19568,860.4512,12074
334675,203,50,1.0,0.1,2,1.0,2,500.7852,1077.4467,392.19568,685.251,12183
336475,204,50,1.0,0.5,2,0.0,1,1823.2653,2584.0732,392.19568,2191.8774,12183
340534,205,50,1.0,0.5,2,0.0,1,5237.224,6121.827,392.19568,5729.6313,12183
