2016,7,12,10,54
timestamp, trialcnt, block, diameter, mousex, mousey
455913.0,0,0,150,60,839,525
455930.0,0,0,150,60,839,525
455948.0,0,0,150,60,839,525
455963.0,0,0,150,60,839,525
455980.0,0,0,150,60,839,525
455997.0,0,0,150,60,839,525
456013.0,0,0,150,60,839,525
456031.0,0,0,150,60,839,525
456047.0,0,0,150,60,839,525
456064.0,0,0,150,60,839,525
456080.0,0,0,150,60,839,525
456097.0,0,0,150,60,839,525
456113.0,0,0,150,60,839,525
456130.0,0,0,150,60,839,525
456149.0,0,0,150,60,839,525
456164.0,0,0,150,60,839,525
456181.0,0,0,150,60,839,525
456198.0,0,0,150,60,839,525
456214.0,0,0,150,60,839,525
456232.0,0,0,150,60,839,525
456247.0,0,0,150,60,839,525
456264.0,0,0,150,60,839,525
456281.0,0,0,150,60,839,525
456297.0,0,0,150,60,839,525
456314.0,0,0,150,60,839,525
456332.0,0,0,150,60,839,525
456346.0,0,0,150,60,839,525
456364.0,0,0,150,60,839,525
456382.0,0,0,150,60,839,525
456397.0,0,0,150,60,839,525
456413.0,0,0,150,60,839,525
456430.0,0,0,150,60,839,525
456447.0,0,0,150,60,839,525
456465.0,0,0,150,60,839,525
456480.0,0,0,150,60,839,525
456496.0,0,0,150,60,839,525
456515.0,0,0,150,60,839,525
456530.0,0,0,150,60,839,525
456547.0,0,0,150,60,839,525
456564.0,0,0,150,60,839,525
456581.0,0,0,150,60,839,525
456598.0,0,0,150,60,839,525
456613.0,0,0,150,60,839,525
456630.0,0,0,150,60,839,525
456647.0,0,0,150,60,839,525
456664.0,0,0,150,60,839,525
456680.0,0,0,150,60,839,525
456697.0,0,0,150,60,839,525
456714.0,0,0,150,60,839,525
456730.0,0,0,150,60,839,525
456749.0,0,0,150,60,839,525
456764.0,0,0,150,60,839,525
456780.0,0,0,150,60,839,525
456797.0,0,0,150,60,839,525
456813.0,0,0,150,60,839,525
456831.0,0,0,150,60,839,525
456848.0,0,0,150,60,839,525
456864.0,0,0,150,60,839,525
456880.0,0,0,150,60,839,525
456896.0,0,0,150,60,839,525
456914.0,0,0,150,60,839,525
456930.0,0,0,150,60,839,525
456947.0,0,0,150,60,839,525
456964.0,0,0,150,60,839,525
456982.0,0,0,150,60,839,525
456999.0,0,0,150,60,839,525
457013.0,0,0,150,60,839,525
457030.0,0,0,150,60,839,525
457047.0,0,0,150,60,839,525
457063.0,0,0,150,60,839,525
457080.0,0,0,150,60,839,525
457098.0,0,0,150,60,839,525
457115.0,0,0,150,60,839,525
457131.0,0,0,150,60,839,525
457148.0,0,0,150,60,839,525
457164.0,0,0,150,60,839,525
457180.0,0,0,150,60,839,525
457197.0,0,0,150,60,839,525
