2016,7,8,11,32
timestamp, trialcnt, block, diameter, mousex, mousey
9354.0,4,0,150,60,610,595
9369.0,4,0,150,60,608,596
9387.0,4,0,150,60,603,600
9402.0,4,0,150,60,599,603
9419.0,4,0,150,60,593,607
9435.0,4,0,150,60,582,614
9454.0,4,0,150,60,570,622
9469.0,4,0,150,60,554,631
9485.0,4,0,150,60,554,631
9504.0,4,0,150,60,550,632
9521.0,4,0,150,60,550,632
9536.0,4,0,150,60,550,632
9553.0,4,0,150,60,550,632
9570.0,4,0,150,60,550,632
9587.0,4,0,150,60,550,632
9605.0,4,0,150,60,550,632
9619.0,4,0,150,60,550,632
9636.0,4,0,150,60,550,632
9652.0,4,0,150,60,550,632
9669.0,4,0,150,60,550,632
9686.0,4,0,150,60,547,633
9704.0,4,0,150,60,542,635
9721.0,4,0,150,60,540,636
9735.0,4,0,150,60,539,636
9755.0,4,0,150,60,539,636
9770.0,4,0,150,60,539,636
9785.0,4,0,150,60,539,636
9803.0,4,0,150,60,539,636
9820.0,4,0,150,60,539,636
9837.0,4,0,150,60,539,636
9855.0,4,0,150,60,539,636
9869.0,4,0,150,60,539,636
9888.0,4,0,150,60,539,636
9902.0,4,0,150,60,539,636
9919.0,4,0,150,60,539,636
9936.0,4,0,150,60,539,636
9954.0,4,0,150,60,539,636
9971.0,4,0,150,60,539,636
9986.0,4,0,150,60,539,636
10002.0,4,0,150,60,539,636
10021.0,4,0,150,60,539,636
10036.0,4,0,150,60,539,636
10052.0,4,0,150,60,539,636
10070.0,4,0,150,60,539,636
10087.0,4,0,150,60,539,636
10104.0,4,0,150,60,539,636
10120.0,4,0,150,60,540,636
10135.0,4,0,150,60,544,635
10154.0,4,0,150,60,556,628
10169.0,4,0,150,60,564,624
10186.0,4,0,150,60,578,616
10203.0,4,0,150,60,605,600
10220.0,4,0,150,60,639,577
10236.0,4,0,150,60,656,567
10253.0,4,0,150,60,682,552
10269.0,4,0,150,60,701,539
10286.0,4,0,150,60,715,530
10304.0,4,0,150,60,725,522
10352.0,5,0,150,60,746,505
10369.0,5,0,150,60,746,505
10386.0,5,0,150,60,857,509
10403.0,5,0,150,60,860,505
10419.0,5,0,150,60,861,503
10436.0,5,0,150,60,862,502
10453.0,5,0,150,60,862,502
10470.0,5,0,150,60,863,501
10488.0,5,0,150,60,864,499
10502.0,5,0,150,60,865,497
10519.0,5,0,150,60,868,493
10536.0,5,0,150,60,869,490
10552.0,5,0,150,60,870,489
10570.0,5,0,150,60,870,489
10586.0,5,0,150,60,870,489
10602.0,5,0,150,60,870,489
10619.0,5,0,150,60,870,489
10635.0,5,0,150,60,870,489
10654.0,5,0,150,60,870,489
10670.0,5,0,150,60,870,489
10686.0,5,0,150,60,870,489
10703.0,5,0,150,60,870,490
10720.0,5,0,150,60,869,491
10737.0,5,0,150,60,868,492
10752.0,5,0,150,60,868,492
10769.0,5,0,150,60,868,492
10786.0,5,0,150,60,868,492
10802.0,5,0,150,60,868,492
10819.0,5,0,150,60,867,492
10836.0,5,0,150,60,866,492
10853.0,5,0,150,60,866,492
10871.0,5,0,150,60,866,492
10886.0,5,0,150,60,866,490
10902.0,5,0,150,60,866,484
10919.0,5,0,150,60,864,476
